Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;ARTURO FUENTE;Rosado Magnum  ;;30,00;24;720,00;60 X 152;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Dc The Mans 80Th/ Eye Of The Shark   Ltdx;;39,00;20;780,00;52 X 159;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Destino Al Siglo De Amistad  ;;50,00;13;650,00;50 X 127;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Destino Al Siglo De Familias  ;;53,00;13;689,00;47 X 156;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Ffox Angel's Share Fuente Fuente   Ltdx;;42,00;32;1344,00;46 X 143;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Ffox Angel's Share Perfecxion X   Ltdx;;51,00;32;1632,00;48 X 159;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Ffox Angel's Share reserve Chateau   Ltdx;;55,00;32;1760,00;48 X 178;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Ffox Angel's Share robusto   Ltdx;;47,00;29;1363,00;50 X 133;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Forbidden X El Beso Prohibido   Ltdx;;79,00;20;1580,00;50 X 146;Dom. Rep;Koopmans;;;
;ARTURO FUENTE LTDX;Oxo Oro Oscuro robusto    Ltdx;;50,00;29;1450,00;50 X 133;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Ffox 20Th Anniv. Believe  ;;65,00;20;1300,00;52 X 146;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Ffox 20Th Anniv. Father & Son  ;;67,00;20;1340,00;50 X 159;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Ffox 20Th Anniv. God's Whisper  ;;74,00;20;1480,00;56 X 165;Dom. Rep;Koopmans;;;
;ARTURO FUENTE OPUS X;Ffox 20Th Anniv. Power Of Dream  ;;71,00;20;1420,00;52 X 162;Dom. Rep;Koopmans;;;
